algorithm;timed out;problem instance;filename;max degree;number of colors;number of disconnected components;number of nodes;number of uncontrollable nodes;target density;target unary tightness;true average density;true average unary tightness;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;graphColoring_1576359729544;graphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;37;8;1903;417;1;0;0
P-DPOP;0;graphColoring_1576359729544;graphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;366;905;15725;647;1;0;0
P3/2-DPOP;0;graphColoring_1576359729544;graphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;732;1133;295331;21157;0;0;0
P2-DPOP;0;graphColoring_1576359729544;graphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;479;1150;308632;21761;1;0;0
MPC-DisCSP4;0;graphColoring_1576359729544;graphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;327;986;97848;4059;-1;null;0
DPOP;0;graphColoring_1576359734761;graphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;30;16;3808;417;1;0;0
P-DPOP;0;graphColoring_1576359734761;graphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;311;1810;31460;645;1;0;0
P3/2-DPOP;0;graphColoring_1576359734761;graphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;1023;2475;1020588;22990;0;0;0
P2-DPOP;0;graphColoring_1576359734761;graphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;1158;2644;1275463;28538;2;0;0
MPC-DisCSP4;0;graphColoring_1576359734761;graphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;1311;5892;532479;11244;-1;null;0
DPOP;0;graphColoring_1576359744387;graphColoring.xml;2;3;1;5;0;0.4;0.0;0.4;0.0;0;44;36;7822;417;1;0;0
P-DPOP;0;graphColoring_1576359744387;graphColoring.xml;2;3;1;5;0;0.4;0.0;0.4;0.0;0;363;3620;62916;646;1;0;0
P3/2-DPOP;0;graphColoring_1576359744387;graphColoring.xml;2;3;1;5;0;0.4;0.0;0.4;0.0;0;2878;7326;6733695;44545;0;0;0
P2-DPOP;0;graphColoring_1576359744387;graphColoring.xml;2;3;1;5;0;0.4;0.0;0.4;0.0;0;3595;7935;7999505;51327;2;0;0
MPC-DisCSP4;0;graphColoring_1576359744387;graphColoring.xml;2;3;1;5;0;0.4;0.0;0.4;0.0;0;5188;29316;2547139;32775;-1;null;0
