algorithm;timed out;problem instance;filename;domain size;max degree;number of disconnected components;number of variables;target density p1;target tightness p2;true average density p1;true average tightness p2;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
ADOPT;0;randomMaxDisCSP_1576359559695;random_Max-DisCSP.xml;10;5;1;10;0.4;0.4;0.4;0.40999999999999404;23850;38;5410;255779;660;0;null;0
AFB;0;randomMaxDisCSP_1576359559695;random_Max-DisCSP.xml;10;5;1;10;0.4;0.4;0.4;0.40999999999999404;9140;40;6101;228747;458;0;null;0
DPOP;0;randomMaxDisCSP_1576359559695;random_Max-DisCSP.xml;10;5;1;10;0.4;0.4;0.4;0.40999999999999404;64100;51;108;48379;4575;3;0;0
SynchBB;0;randomMaxDisCSP_1576359559695;random_Max-DisCSP.xml;10;5;1;10;0.4;0.4;0.4;0.40999999999999404;1773;39;5745;141618;458;0;null;0
ADOPT;0;randomMaxDisCSP_1576359562949;random_Max-DisCSP.xml;10;5;1;10;0.4;0.5;0.4;0.4944444444444348;6020;30;4799;249226;660;0;null;0
AFB;0;randomMaxDisCSP_1576359562949;random_Max-DisCSP.xml;10;5;1;10;0.4;0.5;0.4;0.4944444444444348;4440;34;5936;205936;458;0;null;0
DPOP;0;randomMaxDisCSP_1576359562949;random_Max-DisCSP.xml;10;5;1;10;0.4;0.5;0.4;0.4944444444444348;642100;71;108;204371;40799;4;0;0
SynchBB;0;randomMaxDisCSP_1576359562949;random_Max-DisCSP.xml;10;5;1;10;0.4;0.5;0.4;0.4944444444444348;601;35;5612;134602;458;0;null;0
ADOPT;0;randomMaxDisCSP_1576359565672;random_Max-DisCSP.xml;10;7;1;10;0.4;0.6;0.4;0.5894444444444307;11650;36;7997;352927;660;0;null;0
AFB;0;randomMaxDisCSP_1576359565672;random_Max-DisCSP.xml;10;7;1;10;0.4;0.6;0.4;0.5894444444444307;28710;56;7716;445273;458;0;null;0
DPOP;0;randomMaxDisCSP_1576359565672;random_Max-DisCSP.xml;10;7;1;10;0.4;0.6;0.4;0.5894444444444307;72100;69;108;48435;4575;3;0;0
SynchBB;0;randomMaxDisCSP_1576359565672;random_Max-DisCSP.xml;10;7;1;10;0.4;0.6;0.4;0.5894444444444307;6892;48;6244;159284;458;0;null;0
ADOPT;0;randomMaxDisCSP_1576359568981;random_Max-DisCSP.xml;10;5;1;10;0.4;0.7;0.4;0.6888888888888708;-1;0;0;0;0;0;null;null
AFB;0;randomMaxDisCSP_1576359568981;random_Max-DisCSP.xml;10;5;1;10;0.4;0.7;0.4;0.6888888888888708;60060;62;8000;481876;458;0;null;0
DPOP;0;randomMaxDisCSP_1576359568981;random_Max-DisCSP.xml;10;5;1;10;0.4;0.7;0.4;0.6888888888888708;922100;102;109;197111;40799;4;0;0
SynchBB;0;randomMaxDisCSP_1576359568981;random_Max-DisCSP.xml;10;5;1;10;0.4;0.7;0.4;0.6888888888888708;7422;45;6241;156699;458;0;null;0
ADOPT;0;randomMaxDisCSP_1576359573255;random_Max-DisCSP.xml;10;6;2;10;0.4;0.8;0.4;0.7899999999999775;517370;224;241299;9678203;660;0;null;3
AFB;0;randomMaxDisCSP_1576359573255;random_Max-DisCSP.xml;10;6;2;10;0.4;0.8;0.4;0.7899999999999775;247960;127;17499;1624444;456;0;null;3
DPOP;0;randomMaxDisCSP_1576359573255;random_Max-DisCSP.xml;10;6;2;10;0.4;0.8;0.4;0.7899999999999775;82100;38;104;50936;4575;3;3;3
SynchBB;0;randomMaxDisCSP_1576359573255;random_Max-DisCSP.xml;10;6;2;10;0.4;0.8;0.4;0.7899999999999775;77840;135;11444;294278;456;0;null;3
ADOPT;0;randomMaxDisCSP_1576429724331;random_Max-DisCSP.xml;10;7;1;10;0.4;0.4;0.4;0.41166666666666063;1690;66;1454;86465;660;0;null;0
AFB;0;randomMaxDisCSP_1576429724331;random_Max-DisCSP.xml;10;7;1;10;0.4;0.4;0.4;0.41166666666666063;6320;50;6072;223648;458;0;null;0
DPOP;0;randomMaxDisCSP_1576429724331;random_Max-DisCSP.xml;10;7;1;10;0.4;0.4;0.4;0.41166666666666063;112100;82;108;55311;4575;3;0;0
SynchBB;0;randomMaxDisCSP_1576429724331;random_Max-DisCSP.xml;10;7;1;10;0.4;0.4;0.4;0.41166666666666063;825;37;5672;139000;458;0;null;0
ADOPT;0;randomMaxDisCSP_1576429730109;random_Max-DisCSP.xml;10;6;1;10;0.4;0.5;0.4;0.4999999999999901;7840;69;4687;253840;660;0;null;0
AFB;0;randomMaxDisCSP_1576429730109;random_Max-DisCSP.xml;10;6;1;10;0.4;0.5;0.4;0.4999999999999901;6480;42;5996;214802;458;0;null;0
DPOP;0;randomMaxDisCSP_1576429730109;random_Max-DisCSP.xml;10;6;1;10;0.4;0.5;0.4;0.4999999999999901;2742100;301;108;562589;402604;5;0;0
SynchBB;0;randomMaxDisCSP_1576429730109;random_Max-DisCSP.xml;10;6;1;10;0.4;0.5;0.4;0.4999999999999901;943;40;5678;139010;458;0;null;0
