algorithm;timed out;problem instance;filename;equilibrium type;margin of error;number of disconnected components of the party graph;number of players;party graph average density;party graph max degree;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;partyProblem_1576604465695;partyLeaute11.xml;pure Nash;0.0;1;2;1.0;1;0;66;10;2303;451;2;0;0
P-DPOP;0;partyProblem_1576604465695;partyLeaute11.xml;pure Nash;0.0;1;2;1.0;1;0;418;1808;29630;644;2;0;0
P2-DPOP;0;partyProblem_1576604465695;partyLeaute11.xml;pure Nash;0.0;1;2;1.0;1;0;2161;3034;1649111;34043;2;0;0
MPC-DisCSP4;0;partyProblem_1576604465695;partyVickrey02.xml;pure Nash;0.0;1;2;1.0;1;0;79;48;6885;1008;-1;null;0
DPOP;0;partyProblem_1576604471736;partyLeaute11.xml;pure Nash;0.0;1;3;0.6666666666666666;2;0;46;20;4620;454;2;0;0
P-DPOP;0;partyProblem_1576604471736;partyLeaute11.xml;pure Nash;0.0;1;3;0.6666666666666666;2;0;355;3616;59259;644;2;0;0
P2-DPOP;0;partyProblem_1576604471736;partyLeaute11.xml;pure Nash;0.0;1;3;0.6666666666666666;2;0;5882;8659;8186984;56836;5;0;0
MPC-DisCSP4;0;partyProblem_1576604471736;partyVickrey02.xml;pure Nash;0.0;1;3;0.6666666666666666;2;0;148;302;33335;1539;-1;null;0
DPOP;0;partyProblem_1576604489078;partyLeaute11.xml;pure Nash;0.0;1;4;0.5;2;0;43;30;6935;454;2;infinity;infinity
P-DPOP;0;partyProblem_1576604489078;partyLeaute11.xml;pure Nash;0.0;1;4;0.5;2;0;363;5426;89806;644;3;infinity;infinity
P2-DPOP;0;partyProblem_1576604489078;partyLeaute11.xml;pure Nash;0.0;1;4;0.5;2;0;8940;7112;17466874;78386;5;infinity;infinity
MPC-DisCSP4;0;partyProblem_1576604489078;partyVickrey02.xml;pure Nash;0.0;1;4;0.5;2;0;291;1212;115301;2609;-1;null;infinity
